,stopword,rating,sentiment
650,halaman syarat bijak privacy ok button proses registrasi,1.0,negative
651,halaman syarat tombol tuju lihat layar aplikasi pakai,1.0,negative
652,hp android ngisi tanggal lahir display nya ga banget pencet gel jempol,1.0,negative
653,hp coolpad buka,1.0,negative
654,hp redmi gak masuk tombol tuju hilang,1.0,negative
655,hp nya tdk,5.0,negative
656,kerja check in chek out tpi nggak ya udah hapus install mohon,1.0,negative
657,menu ehac pilih maskapai penerbanga pilih gak langsung ketik pilih maskapai pilih gak pilih kolom gak isi contoh saudi airlines pilih gak saudi airlines e hac international nya mohon kembang aplikasi versi tinggal ketik aja bisamohon perbaikanya,1.0,negative
658,jelek aplikasi nya ngehambat urus scan barcode aplikasi gk kecewa,1.0,negative
659,update ko ga buka yahgimana,1.0,negative
660,update mlh error log in gk bs nyusahin org ber aktifitas nih app,1.0,negative
661,upgrade susah masuk,1.0,negative
662,upgrade buka aplikasi mendownload ulang buka aplikasi,1.0,negative
663,vaksin kuat,4.0,positive
664,web vaksin aplikasi vaksin wkwkwk,1.0,negative
665,tdk lelet,5.0,negative
666,tampil konfirmasi kewarganegaraan hp,1.0,negative
667,status vaksinasi ga anggap udah vaksin merah aja yg arti vaksin udah vaksin lho sertifikat vaksin udah muncul kalo pergi pas scan qr otomatis blm vaksin ga banget aplikasi udah dataa lho kalo udh vaksin tolong yah email ga beres nih gunaa sertifikat vaksin kalo emang ga anggap vaksin,1.0,negative
668,robot yg parah,1.0,negative
669,diupdate pake layar aja gilir layar ukur tampil orang indonesia hape nya layar ga orang beli hp sesuai layar,2.0,negative
670,diupdate ngestuck logo doang gabisa masuk halaman utama,1.0,negative
671,dokumen masuk,1.0,negative
672,download buka langsung hasil download sertifikat alhamdulillah download app liat komentar kecilin font donwload app kecilin fontnya deh moga hasil,5.0,positive
673,download apk emang butuh gak login yaa kecewa banget sih download gak pakai,1.0,negative
674,download paksa vaksin,1.0,negative
675,buka buka payah,1.0,negative
676,edit terima kasih kembang aplikasi benah fungsi aplikasi keluh izin lokasi bluetooth curiga layar tutorial repetitif notifikasi hapus ganggu hilang sukses tekan angka covid indonesia,5.0,positive
677,emak gw udah vaksin dosis butuh sertifikat eh pas cek gimana si anjir niat ga si ngembangin nih apk kalo niat ngembangin bikin kayak gojek byu dll yg user friendly bahasa udah gampang paham udah kayak chattingan,1.0,negative
678,emm tolong desain aplikasi ngasih keluh yg hp yg layar inc apk g daftar akun tombol button g klik terimakasih kalua tindak tampil aplikasi by layar hp inc,5.0,negative
679,enak banget pakek aplikasi pedulilindungi good,5.0,positive
680,enak gk kartu vaksin aplikasi pedulilindungi,5.0,positive
681,engga daftar vaksin,1.0,negative
682,eror tab sertifikat vaksin mohon,1.0,negative
683,error bangsulll apps ga gabisa masuk hasil test anti gen kecewa,1.0,negative
684,error lokasi terdeteksiini yah,1.0,negative
685,fitur atur jalan regulasi bantu,5.0,positive
686,fitur aplikasi daftar vaksin aplikasi pergi vaksin scan barkot sertifikat nya tdk muncul kartu daftar harap fitur hapus daftar vaksin aplikasi tanggal sdh,1.0,negative
687,g informasi data vakain masukkemana adu membwnaekan data,1.0,negative
688,ga manfaat,1.0,negative
689,ga bikin akun aplikasi nya ga pake,1.0,negative
690,ga buka data peduli lindung,1.0,negative
691,ga buka udah tuju,1.0,negative
692,ga cetak sertifikat,1.0,negative
693,ga d buka aplikasi jelek spanjang sejarah,1.0,negative
694,ga daftar akun gimana yah min stop syarat ga gerak,2.0,negative
695,ga buka kali kali download,1.0,negative
696,ga buka tlg bantuanya,5.0,negative
697,ga jalan xperia z,1.0,negative
698,ga pakai aplikasi,1.0,negative
699,ga pakai wni wna susah nih,1.0,negative
700,ga pake apli kasi jelek,1.0,negative
701,ga scroll,1.0,negative
702,ga buka payah banget udah upgrade ngapain scan barcode kalo aplikasi aja ga,1.0,negative
703,ga digunakansusah cari tombol tuju dgn skukuran huruf pengaturantetap tdk muncul tombol klik tuju kaya aplikasi nya ukur huruf nyabiar hp,1.0,negative
704,ga buka aplikasinyapadahal udah dimall,1.0,negative
705,ga liat sertifikat vaksin digital sy udah vaksin,1.0,negative
706,ga loding tuju mulu,1.0,negative
707,ga log in ganti hp bingung nya,5.0,negative
708,ga log in pilih wni wna gmn aplikasi hadeh,1.0,negative
709,ga login daftar,1.0,negative
710,ga login bos,1.0,negative
711,ga login,1.0,negative
712,ga login lagiparah bet kalo apl nya bapuk login ga,1.0,negative
713,ga login ribet,1.0,negative
714,ga login stuck beranda,1.0,negative
715,ga login tolong bantu,1.0,negative
716,ga logout cek in lokasi,1.0,negative
717,ga masuk aplikasi pedulilindungi ga klik daptar masuk aplikasi,1.0,negative
718,ga masuk udah centang syarat,1.0,negative
719,ga pake qr code nik daftar udh lapor disdukcapil responnya butuh qr code kerja tolong admin aplikasi menu nik daftar dipermudahsaya kerja,1.0,negative
720,ga scan gagal,1.0,negative
721,ga scroll daftar gmn,1.0,negative
722,ga bsa dbuka gmnaaakluar wni wnacentang dah tuju yo ttp ga bsaapp yg bagong skli,1.0,negative
723,ga gunabuka aplikasi ga,1.0,negative
724,ga gunamasa ga dapet  sertifikat vaksin nyadi cekk kali ttep gaada terimakasih mohon perbaikiii gedeggg,1.0,negative
725,ga ga buka,1.0,negative
726,ga muncul sertifikatnyaa,1.0,negative
727,ga paham aplikasi tuju aplikasi blm sempurna publikasikanhadeehh,1.0,negative
728,ga hasil ya g muncul nih,2.0,negative
729,ga responsive hp android versi lamabutton tuju muncul,1.0,negative
730,ga tau dah bingung semenjak update sertifikat vaksin muncul,1.0,negative
731,ga tau lh y jaring lot gmn loading nya bner,1.0,negative
732,gabisa log in gimana update,1.0,negative
733,gabisa login sbelum update,1.0,negative
734,gabisa login riweh gak gitu suruh pake aplikasi,1.0,negative
735,gabisa masuk stuck opsi warga negara asing indonesia,2.0,negative
736,gabisa verifikasi emailkemarin sih cuman lupa gak verifmau verif gmasuk masuk,5.0,negative
737,gagal check in gagal chek in aplikasi gak,1.0,negative
738,gagal pas verifikasi udah ulang kali tp kode otp masuk tolong,4.0,negative
739,gagal login nya un instal instal tetep,4.0,negative
740,gajelas update sertifikat vaksin g lihat data antigen gak masuk antigen klinik yg kai mitra klinik yg data masuk aplikasi,1.0,negative
741,gak bagus aplikasi gak blum dowload agik ngabisin data pakt,1.0,negative
742,gak bagus hp j prime,1.0,negative
743,gak aplikasi mentok gambar bijak aja gak gerak,3.0,negative
744,gak cetak sertifikat gagal mulu pdhl nik dah,1.0,negative
745,gak d buka wlopun udah klik tuju,1.0,negative
746,gak buka jelek aplikasi,1.0,negative
747,gak buka sertifikat aplikasi gagal play store,1.0,negative
748,gak gera gimana,1.0,negative
749,gak,1.0,negative
750,gak buka update klik warga negara indonesia masuk menu ceklist syarat diceklist gak tombol next,1.0,negative
751,gak buka aplikasi gak mutu sdh download gak buka,1.0,negative
752,gak buka gimana sih,1.0,negative
753,gak stuck halaman syarat bijak privasi tombol next nya gak,1.0,negative
754,gak login nih gak swipe login tolong,1.0,negative
755,gak login aplikasi gembeeel,1.0,negative
756,gak login tolong,1.0,negative
757,gak masuk aplikasi cuman mentok halaman syarat bijak privasi,1.0,negative
758,gak masuk akses aplikasihanya tahan bijak privasipadahal cek list,1.0,negative
759,gak masuk gimana,1.0,negative
760,gak masuk sampe bijak,2.0,negative
761,gak masuk aplikasi,2.0,negative
762,gak masuk aplikasi click tuju gak buka,1.0,negative
763,gak masuk lokasi deteksi mulu gak pake lokasi nama masuk web kocak bikin apk kalo web gak scan ,1.0,negative
764,gak bsa masukgmn ya ya biar bsa masuk,5.0,negative
765,gak ribet ui nya aneh klik tuju gk,1.0,negative
766,gak aplikasinyaa udah kali instal unistal ttp ga bs,1.0,negative
767,gak konek sulit koneksi,2.0,negative
768,gak masuk masuk gatec ya coba gak terang aplikasi,1.0,negative
769,gak kasih bintang bintang gak layak apps yg diupdate update banget peduli lindung pakai gak gak gerak stuck halaman syarat ketentua bikin repot bantu krl busway transjakarta scan barcode stasiun halte tolong bantu,1.0,negative
770,gak ngerti aplikasi serba susah yg paham,1.0,negative
771,gakbisa buka ya lihat sertifikat vaksin,1.0,negative
772,gampang cepat,5.0,positive
773,ganggu mulu nih apk udah tau kudu pakek ginian mulu,2.0,negative
774,gblok udah cenglis tuju masuk apknya,1.0,negative
775,gila sih daftar udh,1.0,negative
776,gimana download sertifikat kali cek kosong n kali periksa status muncul tulis sertifikat klik aplikasi,5.0,negative
777,gimana cerita nya tanggal lahir sesuai data kartu keluarga ijazah aja ktp sesuai pas cek sertifikat vaksinasi terang nya tanggal lahir sesuai rugi ecek sertifikat vaksinasi kalo lamar kerja,1.0,negative
778,gimana daftar vaksin ya kokudah masukin nama kk ga,2.0,negative
779,gimana daftar susah,1.0,negative
780,gimana aplikasi bom muncul tanda tuju alhasil kerja ribet deh masuk kantor mesti nulisnulis iya kecilin font ga ngaru hapusin aplikasi udh sempet email kendala feedback sertifikat ga mesti scann hadehhh,1.0,negative
781,gimana boy nggak login aplikasi,3.0,negative
782,gimana aplikasi nya gk pakai klik tuju gak respon peduli gk,1.0,negative
783,gimana inih udah bener bener dirusakin balikin tong kaya kali w download eh dongo bikin aplikasi sih luh,1.0,negative
784,gimana ko ga buka,1.0,negative
785,gimana mo maju anjir aplikasi kayak ga niat parah banget pajak orangorang dibayarin bom bikin aplikasi rada bagus gitu,1.0,negative
786,gimana ni aplikasi parah bgt gak bs login lg weee jd gak lg aplikasi gak macamni ktnya wajib pake tp gak bs dipake parah looo,1.0,negative
787,gimana nih aplikasi peduli lindung sertifikat vaksin nya udah gak muncul,1.0,negative
788,gimana nih min sy sdh vaksin tpi tdk masuk data aplikasi vaksin offline karna ganggu telkom sepapua bln mei gimana solusi data sertifikas vaksin sy bsa lihat aplikasi tks salam,1.0,negative
789,gimana nih dah minggu an gk bukak aplikasi bantu warga tpmalah kesal huffhhh,1.0,negative
790,gimana si centang tuju gak tombol laen stak situ gk kemanamana gimana logika,1.0,negative
791,gimana sih udh dipaksin udh daftar alamat aceh aneh orang bandung t dapet sertipikatnya aceh pokok ga tau sertipikat aplikasi a bener karna rugi udh donwnlod hese teu geus mel kuota teu boga duit dih pi kekehelen pis awas hayoh eta sertipikat kudu aya bandung titik tiktiktitik,1.0,negative
792,gimana sih udah kasih fototp gk bisahrs gimana jgn bingung,3.0,negative
793,gimana sih inikok g laman,1.0,negative
794,gimana sih cek sertivikat vaksin aja susah kek mati balikin versi aja deh ribet tau orang  males gin liat rating updet jelek,1.0,negative
795,gimana sih liat sertifikat aja gak bisakecewa,1.0,negative
796,gimana sih login gak tmbah nyulitin orang kerja gak login woeee,1.0,negative
797,gimana sih x vaksin tp yg muncul doang pas komplain suruh yg vaksin udah globalisasi sulit udah sulit sulit terima kasih ya,1.0,negative
798,gimana sih ya vaksin udah selesai periksa sertifikat nyuruh masuk nik tp tetep kagak periksa suruh masukin nik haduh aneh ni ampe gitu mulu info warna udah hijau loh periksa sertifikat ribet banget repot gimana nih jadina pergi kmn ribet gegara gak pas scan qr nya,1.0,negative
799,gimana tho ya wajib tp developer bikin aja udah tau ya komplennya stuck halaman login yg gak masuk apps nya trus jg yg mesti benerin settingan hp laahhh yg mesti dibenerin tuh apps mu boss gak apps mu yg paksa install orang yg ngerti kalo gak wajib jg gamau installnya boss direpotin dgn ubah settingan lucu boss ahh udahan yuk canda banyakin kerja,1.0,negative
800,gimana aplikasi ya koh ngk buka,1.0,negative
801,gimana ya aplikasi vaksin dosis tulis setifikat nya ya,1.0,negative
802,gimasih aplikasi ngga masuk vaksin,1.0,negative
803,gimna cek out nya bikin data gak valid,1.0,negative
804,gk beguna lht sertifikat vaksin aja gk bsa gbis paket download apk daftarkn akun,1.0,negative
805,gk bis login kulaporin aplikasi spam tau lihat lihat gk dibales gk balesanmu admin,1.0,negative
806,gk cek sertifikat lp,2.0,negative
807,gk daftar login apknya klo aneh bgt sih,1.0,negative
808,gk sertifikat vaksin,1.0,negative
809,gk buka,1.0,negative
810,gk buka,3.0,negative
811,gk pake,1.0,negative
812,gk buka duhh gmna nihh,1.0,negative
813,gk login tombol manaukuran huruf ting ukur sampe sampe gk baca saking tp tombol msh blm liat,1.0,negative
814,gk login tampil,1.0,negative
815,gk loginv,1.0,negative
816,gk masuk boss,1.0,negative
817,gk masuk sih aplikasi pedulilindungi apk nya ane,3.0,negative
818,gk bsa dbuka anjg apknya klau gk bsa dbuka,1.0,negative
819,gk vaksin tgl sertifikat gk kalo korupsi gitu bos butuh kartu vaksin data vaksin infut vaksin kemaren,1.0,negative
820,gk sumpah cek sertifikat vaksin gk muncul muncul,4.0,negative
821,gmn sih apk nya masak kirim kode otp nomor sih hufh sebel kemaren coba truss gada sms kode otp nya udh gitu tgl november vaksin males kalo kyk gitu udh vaksin sertifikat vaksin nya yg bikin ribet,1.0,negative
822,good job indonesia,5.0,positive
823,gua heran sih kerja perintah asa gua udah vaksin sertifikat vaksin ga muncul heran gua asa aja vaksin jawabarat pegawai yg ngurusin kaya gin orang ga,1.0,negative
824,download sertifikat vaksin gak muncul,1.0,negative
825,gw dah checkout nyangkut status checkout alhasil gw ga checkin konyol banget,1.0,negative
826,gw liat sertifikat vaksin gua gk bisaudh masukin nik msh gk sial gw kalo mall susah nih,1.0,negative
827,gx buka,2.0,negative
828,haaa nyesel vksin pulkam g sertifikat,1.0,negative
829,habis centang tuju adapilihan developer mohon hp oppo f,1.0,negative
830,habis update mlah gk dipaketiap scan barcode mlah aplikasi susah masuk kerjaansekarang pake aplikasi,4.0,negative
831,habis gagal pas selesai barcode,1.0,negative
832,habis update nggak buka sertifikasi stag data no kk nama gimana developer tolong,1.0,negative
833,habis update nggak masuk gilir masuk aplikasi,1.0,negative
834,habis update susah log in gps nyala bikin boros baterai,1.0,negative
835,habis update parah tombol verifikasi login pencet gak,1.0,negative
836,habis upgrade tdk bs flight,2.0,negative
837,habis vaksin sertifikat instal,5.0,negative
838,hadehh ken ngecek aja ribet ga scroll udah yg kasih rating jlekkeluhan diem aja gilir urus duit mah cepet,1.0,negative
839,haduh gawat akses sertifikat vaksin,2.0,negative
840,hahaha lucu jg ya detik beres sign in gx d buka sayang pedulilindungi buka gg app,3.0,negative
841,hahahaha bilangin apk buruk apk nya gak jelek tau,1.0,negative
842,hahahaha ulas bintang hapus aplikasi eror yg maksud tdk scan qr karna hp fitur qr nyamang bodoh tp aplikasi nya yg salah trus scan qr bos,1.0,negative
843,hallo kakak kode otp gak masuk sms ya vaksin mohon kasih konfirmasi nya kait,1.0,negative
844,halo downloadtapi masuk tekan tuju syarat nya tpknp yamohon,1.0,negative
845,halo aplikasi peduli lindung terimakasih status vaksinasi data warna kuning kasih bintang ya nya aplikasi nya sya meng aplod foto fropil sya tolong sya kasih bintang deh,4.0,positive
846,halo kak gk dapet kode verifikasi sms daftar aplikasi pedulilindungi ya,1.0,negative
847,halo peduli lindung mohon aplikasi daftar aja kendala teknis aplikasi,1.0,negative
848,halo pedulilindungi udah vaksin september sertifikat vaksin nya muncul ya pas kali kirain eror terimakasih,5.0,negative
849,halo kak kasih bintang pas daftar scroll mohon terima kasih,4.0,negative
850,halo kendala kendala cek vaksin daftar vaksin klik periksa diberitahi vaksin lihat bukti sertifikat vaksin buka apk notif apk nya tolong pergi mall barang beli,3.0,negative
851,hapus aja aplikasi klo ga digunain tipe hp aplikasi tpi sulit gunain apk nya apk ga jelass,1.0,negative
852,ngebuggg,1.0,negative
853,ngisi tanggal lahir tampil tanggal umur iya klik sampe thn belakangsampe ngisi tnggal lahir doang ketik keyboard tampil,2.0,negative
854,hasil tes covid lihat,5.0,negative
855,hasil tes gak kluar jdi mlah ribet,1.0,negative
856,hasil vakcin payah,1.0,negative
857,hay gays aplikasi udah download tp gk masuk trus fungsi pajang aja menuhin memori ponsel aja ayo msak dri segi kek gin aja msih amburadul gmna maju,1.0,negative
858,hey apk fungsi aneh masuk aja susah udah kode verifikasi tap gada gimana masuk,1.0,negative
859,hidup sehat nyaman,5.0,positive
860,hp restar atur pabrik download ulang aplikasi ga buka aplikasi,1.0,negative
861,hp samsung j ace daftar aplikasi layar hp klik negara indonesia klik aplikasi scrool utuk klik halaman tolong baharu aplikasi hp android terima kasih,2.0,negative
862,hp ukur masuk pedulilindungi tombol i agree muncul layar tombol nyata tuju developer tolong sesuai aplikasi layar ukur hp,2.0,negative
863,ide kreatif kendali sebar covid,5.0,positive
864,ijin ko nama salah yah,2.0,negative
865,protokol sehat,5.0,positive
866,in aplikasi sih aplikasi in sesuai hp android ya daftar bikin akun gak scroll pilihannyahemmmbbb payahhh bilg lyak pakai aplikasi in,1.0,negative
867,in bos ko update ga bsa masuk aplikasi in atur klo msh blm sempurna jngan sebar luas dlu lumayan dr orang buang kuota sia siatolong tingkat kwalitas klo tdk versi yg terwuji tolong kembang tanggap in cepat nya kasihan yg update versi yg rugi,1.0,negative
868,indonesia bodoh masyarakat gagal mulu login stres verivikasi robot mulu,1.0,negative
869,informasi utk konfirmasi syarat tombol tuju lihat masuk login halang konfirmasi syarat,1.0,negative
870,informatifsangat membantuterimakasih,5.0,positive
871,abis centang tuju gabisa udah klik syarat privasi bijak mohon sulit masyaraka,1.0,negative
872,apaapaan sipas masuk aplikasi syarat bijak privasi baruterus ngisi data lihat sertifikat vaksin sayatolong donk aplikasi nya dibenerin biar,1.0,negative
873,apalikasinya kenapaya pas cek out suruh isi nomor nik isi nomer nik nya pas klik bilang nomor nik kadaluarsa nggak tolong dongggakukan butuh kartu vaksin nya,1.0,negative
874,apk ya login gak tulis nya gak scroll,1.0,negative
875,apkikasi knp udah ulang update ttp muncul tuju ngk muncul yg laen,1.0,negative
876,aplikasi aneh banget diupdate check in stasiun warna merah ket vaksin jelasjelas aplikasi sertivikat vaksin unduh bt aja untung aja gojek trus check in situ ps gojek check in utk orang jdi tinggal masukin nama nik ktp lumayan solusi yg hpnya jadul orang tua yg gak hp,1.0,negative
877,aplikasi gimana log mentok syarat bijak privasi ga tombol aplikasi perintah ko kaya gin kaya aplikasi abal bintang kecewa,1.0,negative
878,aplikasi dach upgrade bagus ga login,1.0,negative
879,aplikasi dah captcha muluu gk cek sertivikat vaksin gk tau gakk,1.0,negative
880,aplikasi masuk ya,1.0,negative
881,aplikasi ngga responsive hadap ponsel sih arti proyek milyaran rupiah aplikasi aja ngga mikirin ux nya,1.0,negative
882,aplikasi parahmlh ngga buka,1.0,negative
883,aplikasi beta gmna sih liat sertifikat vaksin ga muncul,1.0,negative
884,aplikasi bodoh dunia ga,1.0,negative
885,aplikasi,5.0,positive
886,aplikasi dukung utk hp android jadul mama sampe gak masuk mall garagara scan pas up date aplikasi gak log in untung scan via gojekshopeetokopedia yg hp adroid versi pakai gojek shopee tokopedia aja scaningnya simple,1.0,negative
887,aplikasi update bagus jelek gak fungsi gin aplikasi nya tolong jgn nyusahin gin,1.0,negative
888,aplikasi yg bgmna gak gak masuk booos,1.0,negative
889,aplikasi gimana sih login masuk gk bisatolong aplikasinyaap lgi seakarang usaha ygmenganjurkan pakek aplikasiiniuntuk scen barkottpi klo aplikasi gk pakekbuat ap aplikasi,1.0,negative
890,applikasi suka error udah masukin nik nama lengkap informasi salah aneh kali,1.0,negative
891,bagaima min kode kirim email ko ga mulu kode dah udah coba kirim ulang tetep aja tolong,1.0,negative
892,bagus peduli lindung,5.0,positive
893,aplikasi habisin dana negara m forceclose handle bug masak aplikasi yg rakyat indonesia applikasi yg startup,1.0,negative
894,daftar ga masuk yano hp udh,1.0,negative
895,gi masuk akun pencet tuju ga tolong,1.0,negative
896,gim sih masuk aja bikin ribet gak bngt kalo bikin apk yg dikit masuk aja nggak,1.0,negative
897,gimana kaga baca tuju hape ane hape nih ga muncul baca tuju nya tolong jdi hp andorit amoledfulldisplay gmna sih,1.0,negative
898,gimana vaksin gak muncul keteranganya apknya gmna sih yg muncul vaksin,1.0,negative
899,gimana sih aplikasih nay nyentang syarat bijak privasi oke nya gk pencet bawa tolong,1.0,negative
900,gimana sih udah login aplikasi sertifikat vaksin buka suruh cek status vaksin,3.0,negative
901,gimana ya stuck syarat privasi ga geser kanan kiri,1.0,negative
902,gimana yak udah daftar vaksin aplikasi nomer tiket pemberitahuan vaksin d daerah tanggal nya tolong,1.0,negative
903,gmn sih ko ga login stag tuju syarat trs sy klo kerja gmn skrg kmn pke app peduli lindung tpi app aj ky gin,1.0,negative
904,gmn ya loginnya ga susah masuk kampus tolong benah cepat makasih,2.0,negative
905,gmna min ko mlh mentok pas klik stuju,1.0,negative
906,gmna bug redmi a scan barcod ga apk laen scan barcod lancar,1.0,negative
907,gmna sih sya udh instal udah klik syarat gk masuk sihh,3.0,negative
908,ga login ya muncul pilih warga negara tuju bijak kalo gin susah,1.0,negative
909,masuk aplikasi yg suruh baca syarat bijak privasi udah diceklis ga jgn sulit kali vaksin tolong respon developer aplikasi menteri kait,1.0,negative
910,sih ka ko sertifikat nggak muncul suruh isi ulang nik emang nik nya tolong,3.0,negative
911,tetep syarat bijak privasi gk bisaa login,1.0,negative
912,klik erti,1.0,negative
913,masuk ya menyutujui nya knp masuk knp tulisanuser not foundsaya tolong kecewa aplikasi,2.0,negative
914,tombol tuju nya nggak dihp,1.0,negative
915,ya kog sertifikat vaksin gak muncul suruh ngisi data gambar mobil gambar zebra cross gak banget sih,1.0,negative
916,ya suka ceck out,5.0,negative
917,ya ambil sertifikat nya apk nya henti trs pdhl oke ajamohon bantu,3.0,negative
918,kenpa tiab tampil sertifikat vaksin aplikasi henti auto yaaa padahl vaksin kali nyavaksin tertundaa,1.0,negative
919,knp akun pedulilindungi nama org ya sy ngga kenal org sy hrs adu lapor,3.0,negative
920,register dr kemaren koq ga ya aplikasi nya error aplikasi,2.0,negative
921,masyarakat vaksinasi capai target alas vaksin masyarakat ditakuttakuti vaksin tolong bikin program ya masak checkin mall ijin kamera on ya,5.0,positive
922,ribet banget aplikasi nyamau login sampe kali display nya gak berubahbikin atur sistem nya blm siapppnyusahin banget atur perintah,1.0,negative
923,vaksin muncul yah sertifikasi,1.0,negative
924,tolong update dah coba ga scroll tuju syarat,1.0,negative
925,tolong masuk akun tuju bijak privasi muncul stuck bijak privasi,1.0,negative
926,yg bikin aplikasi gimana pikir ya isi tanggal lahir pilih tekan tombol back lahir an jengkel isi tanggal lahir tekan back ratus kali,1.0,negative
927,yg bikin aplikasi sih nggak nyuruh orang unduh dungu,1.0,negative
928,install oppo tdk opsi masuk font nya tdk sesuai,1.0,negative
929,isi tanggal lahir,1.0,negative
930,isi tgl lahir smplyfy ya masak mesti pencet ratus kali unt isi tgl lahir aje gileee,1.0,negative
931,admin yg jawabin syarat gulir trus coba huruf kaga ngaruh woi,1.0,negative
932,iy buruk aq sendat tampil gagal vaksin kecwa aq nunggu bru buka app ngk,1.0,negative
933,jaman udah digital input tgl lahir iya scroll nya mesti month to month geser bayangin klu lahir an mesti scroll month to month,3.0,negative
934,ragu download,5.0,positive
935,and mudah erti,5.0,positive
936,manfaat,5.0,positive
937,jelek banget aplikasi gak bida dipake tuh gimana sih,1.0,negative
938,jelek bangetkata nya suruh baharu aplikasinyatapi baharu aplikasi bukaaksesnya sulit bikin pusing,1.0,negative
939,jelek bgt aplikasi aplikasi kelas perintah gin error mulu parah ngerubah data aja susah bgt tolong cepat jgn anggar yg gede,4.0,negative
940,jelek program krg cocok dgn android lokasi gk terupdate otomatis,1.0,negative
941,jelek susah masuk,1.0,negative
942,jelek sekalj aplikasi login aja susah tolong susah orang,1.0,negative
943,jelek isi identitas tanggal lahir,1.0,negative
944,jelek liat sertifikat vaksin ga isi data gimana sih,1.0,negative
945,jelek tombol tuju tampil sempurna proses hambat,1.0,negative
946,jeleksertifikat tp klaim ribet banget,1.0,negative
947,jgn lupa ambil starpikat paksin teman,5.0,positive
948,jgn nanggung kalo bikin apl mentang hp mak gw oppo geser gak hoalahh,1.0,negative
949,jlek g buka aplikasi y,1.0,negative
950,jujur verifikasi sandi susah,1.0,negative
951,jujur download apk oh ayo diam syarat verivikasi apk kesal,1.0,negative
952,jwelek cek sertifikat aja belibet ga muncul muncul udah input nik profil aplikasi lengkap tp sertifikat tdk lihat payah aplikasi,1.0,negative
953,ka blokir orang pakai no nik vaksin,1.0,negative
954,kacauu ga login,1.0,negative
955,kadang kadang error lokasi,5.0,negative
956,kadang lot,5.0,negative
957,kaga kaga scan jelek,1.0,negative
958,kaga anjir liat sertifikat vaksin aja susah udah ilang nteh kaga banget asu,1.0,negative
959,kak ya apk peduli lindung ponselku buka,3.0,negative
960,kak maaf sebelmunya aplikasi login tuju perayaratan scrol temu tombol submit mrneruakan mohon,2.0,negative
961,apps nya ga buka dr sdh centang tuju tp ga gmana solusi,1.0,negative
962,gk chek out gk chek in lg tmpt skrg apk bgtu gk bs chek out,1.0,negative
963,aplikasi bagus gk buka sekala udah diunistal salah sertifikat vaksin gk buka lot,1.0,negative
964,pake versi android gak buka ya update aplikasi gampang masuk gak sampei janji centang doang terimakasih,5.0,negative
965,kasih bintang rendah minus aplikasi mall kantor buang baterai kuota bug cipta moga pandemi tinggal aplikasi chek in ga check out kadang login jam pagi kuntilanak kali gantiin kerja trus scan login bilang ga lokasi mulu gmaps ga tuh tinggal parah boros batere data ampun deh minggu isi data gegara apps yg ngirit ampe jdi jebol apps batere gaada powerbank colok charger nasib deh mah mah nya makan apps udah gitu klo ga dipake maksa gps nyala kes spying ga sih mw boker wc aja kdu nyala gps dimatiin notifnya kyk iklan tiktok nonstop tuju praktek beranta satusatunya positif ui nya yg simpel,1.0,negative
966,tekan perintah wajib vaksin kartu vaksin syarat gw mah ogah lihat aja tuh aplikasi ngasih bintang arti rakyat tekan paksa duit tes pcr pergi tanggung perintah perintah sengsara rakyat sih,1.0,negative
967,pepet install app klik tombol tuju solusi,1.0,negative
968,kesel ga make aplikasi iya,1.0,negative
969,kalo bintang gua kasih pagi sampe malem kode otp gak kirim  cek sertifikat vaksin nya aja sulit kalo gak niat meribet masyarakat mending hapus aja dah apk ginian gak bgt kalo karna tuntut suruh download apk gak gin gak gua donlot ngabisin kuota gua doang,1.0,negative
970,kalo ga kasih bintang ga kasih bintang install uninstall ttp mentok setu syarat bijak privasi,1.0,negative
971,kalo playstore gabisa buka web buka aplikasi wkwkwk,1.0,negative
972,kalo ga paksa ga install apk bagus mesti dibenahin,1.0,negative
973,ni up date perbaikannyajadi hambat kerja yg scan barcode,1.0,negative
974,,1.0,negative
975,hasil masuk,3.0,negative
976,karna masyarakat om,5.0,positive
977,kartu vaksin muncul lihat kartu vaksin,1.0,negative
978,kartu vaksin susah didownload,3.0,negative
979,kasih bintang ngak pake aplikasi trus ngak ambil sertifikat,1.0,negative
980,kasih bintang deh karna susah login nya,4.0,negative
981,kasih tau udh vaksin surat vaksin gk hubung call center ilang tanggung kalo bikin aplikasi,1.0,negative
982,wajib download pake aplikasi tp g buka g daftar aneh,1.0,negative
983,wajib vaksin hrus sertifikat vaksin gilir vaksin suruh download pedulilindungi sdh download lha apl masak gc buka lha ne maksa hrus srtifikat dll fungsi sdangkan wat leat tnda bukti apl pedulilindungi gk buka sya tgl nov smpe downlod hapus trus karna gk buka buka penasaran besok e downlod lgi aja gc buka aplnya tolong jgn sulit lgi min admin,1.0,negative
984,kayak hrus hapus ajah aplikasi lihat sertifikat vaksintrmaksih,1.0,negative
985,bug aplikasi nya vaksin dosis sertifikat aplikasi warna merah cek status vaksinasitolong maksimal kerja aplikasi nya,2.0,negative
986,kecewa sertifikat vaksin muncul udah,3.0,negative
987,kecewa parah aplikasi negeri udah baca kali kali tinggal klik tuju aja hilang gak janga susah masyarakat heii perintah,1.0,negative
988,kecewa download tidaj buka,1.0,negative
989,kecewa sy mw cek sertifikat vaksin tp gk,1.0,negative
