content,sentiment
"Saya sudah punya akun, kemudian aplikasinya ke instal, saya download ulang tapi buat masuknya lagi gak bisa, tolong di benahin buat adminnya",negative
"Pusing saya, mau liat sertifikat vaksin, ko nggak sampai """,negative
"Di halaman syarat penggunaan, tombol 'SAYA SETUJU' tidak terlihat di layar. Aplikasi jadi tidak bisa dipakai.",negative
"Ini gmn sih ko setelah perbarui ga bisa login stag di setuju persyaratan trs sy klo kerja gmn? Skrg kmn"" harus pke app peduli lindungi tpi app aj ky gini",negative
Mau masuk ke aplikasi gak bisa .,negative
Gimana toh aplikasi ya koh ngk bisa di buka,negative
Ko aplikasi gak bisa,negative
Aplikasi ga jelas,negative
aplikasi apaan kaya gini gak bisa di buka...bikin jengkel doang,negative
"ko lama banget ya keluar sertifikat yang ke dua nya, udah seminggu saya nunggu sampe sekarang belum ada keluar, padahal data-data pribadi semua di isi dengan benar, jadi gak mungkin kalo salah data.",negative
"Dear Admin. Saya tidak bisa daftar, hp samsung j2 prime udah di update udah berkali2 reinstal, restart, android versi 6.01 buka aplikasi cm sampai halaman kebijakan dan privasi cuma bs di centang udah gitu doang, coba masuk ke home lewat halaman kebijakan bisa isi form tapi gagal terus, sms verifikasi ada masuk",negative
"Gajelas setelah update, sertifikat vaksin g bisa di lihat, terus data antigen gak masuk, padahal saya sudah antigen di klinik yg di tunjuk oleh KAI sebagai mitra klinik yg datanya masuk ke aplikasi ini!!!",negative
"Kalo ada bintang 0 gua kasih 0, dari pagi sampe malem kode otp gak ke kirim². Mau cek sertifikat vaksin nya aja di persulit. Kalo gak niat dan hanya meribet kan masyarakat mending hapus aja dah apk ginian, gak jelas bgt. Kalo bukan karna di tuntut suruh download apk gak guna gini gak bakal gua donlot ngabisin kuota gua doang",negative
kenapa di hp ku apl ny gk bekerja ya pada saat mau mulai mendaftar tulisan lajutkan ny gk keliatan jadi gk bisa makek,negative
Sangat buruk....ngak bisa kebuka,negative
Aplikasi cuma buat hp gede nih ga ngerti masyarakat yang kecil hp nya jadi gabisa daftar aplikasi mandang ekonomi ni blok,negative
Kenapa setelah d perbaharui aplikasi tidak bisa d buka .. Bikin emosi,negative
Jelek banget aplikasinya. Gak bida dipake tuh gimana sih,negative
"Ukuram font sudah plg kecil ttp gak muncul ,,hp kurang suport",negative
tolong di perbaiki kembali app nya.. sya blum bsa masuk ke menu utama pedulilindungi... font sudh di kecil kan dan tetp blum bisa tap tombol setuju nya,negative
Masa udah update gk bisa dgunain..aplikasi ap ky gini,negative
"programer harus belajar lagi ini mah, belajar lagi deh di gedung cyber yang giat ya......tampilan layar tidak fleksibel, di beberapa type hp tidak bisa scroll ke bawah, tolong di perbaiki....",negative
Aplikasi kaga jelas,negative
"Gimana inih... Udah bener bener,, dirusakin... Balikin tong kaya dulu.... Dua kali w download.. eh dongo... Bikin aplikasi apaan sih luh",negative
Dokumen lama tidak bisa masuk,negative
ga bisa log in cuma sampai pilih wni / wna saja ini gmn aplikasiinya hadeh,negative
Versi terbaru ini menghilan data test covid saya. Bahkan test covid pcr di test tgl 28 oktober hilang. Yg versi lama semuanya masih terdata rapi,negative
"14 hari setelah vaksin kedua tapi sertifikat belum muncul... Diperintah vaksin 1 & 2 uda patuh, tinggal cetak sertifikat aja masih ribet...",negative
"Setelah centang saya detuju persyaratan, teru ngapain? Ga ada satupun tombol tombol yg bisa di tekan, scroll pun ga bisa..",negative
Aplikasi tidak bisa di pakai....ada pilihan bahasa trus berhenti gimana sih nih aplikasi ...punya temen juga begitu...masa punya pemerintah aplikasinya begini parah..,negative
Gak bisa di buka jelek aplikasinya,negative
Sy sdh vaksin kedua tp knp keterangannya cm baru vaksin pertama dan ga bisa cek sertifikat vaksin nya,negative
"mending yang lama, sekarang mau scan qr jadi keluar keluar sendiri, alhasil kemaren mau ke mall malah pulang lagi",negative
saya kan sudah terdaftar tapi pas mau login tidak bisa?mohon dibantu oleh adminnya,negative
Aduh ..... kalo Ga memudahkan buat apaaplikasi ini bikin ribet aja,negative
Gimana sih aku udh dipaksin udh daftar terus alamatnya di aceh aneh. Aku orang bandung t** dapet sertipikatnya di aceh pokoknya saya ga mau tau itu sertipikat harus ada disini... Aplikasi A***** harus bener karna merugikan semua udh donwnlod hese teu bisa geus meli kuota teu boga duit dih pi kekehelen pisan awas hayoh eta sertipikat kudu aya dibandung titik tiktiktitik............... *-*,negative
"Padahal dh dilokasi tujuan,,tapi gk bisa ceck in..diluar radius terosss..",negative
In kenapa pak Bos. Ko di update malah ga bsa masuk ke aplikasinya. Bagaimana in. Aturan klo msh blm sempurna jngan di sebar luaskan dlu. Kan lumayan dr setiap orang membuang kuotanya sia sia.tolong segera di perbaiki untuk meningkatkan kwalitas .klo tdk kembalikan ke versi yg lama. Itu sudah terwuji bisa. Tolong pihak pengembang di tanggapi permasalahan in secepat nya kasihan yg sudah pada update ke versi yg terbaru seperti saya merasa di rugikan,negative
"Scan selalu gagal, padahal keperluan masuk kerja. Sangat buruk.",negative
"Parahhh banget, abis di update masalah tambah banyak, nggak bisa login, hrs bikin akun baru, tp sertifikat nggak bisa d akses.... Mengecewakan",negative
Ga bisa di jalankan di xperia z2,negative
Memasukkan tanggal lahir secara secrol manual sangat menjengkelkan.,negative
aplikasinya nggk bisa di buka,negative
"Habis update malah nggak bisa masuk, giliran sudah masuk, malah keluar dari aplikasinya",negative
"Ini aplikasi paling bodoh di Dunia,,, ga jelas",negative
Map sering tidak akurat,negative
Kenapa saya tidak ada tulisan saya setuju memang allikasi ini cuman bisa diakses sama hp hp keluaran terbaru lalu bagaima dengan orang orang yang memiliki hp versi lama seperti saya tolong untuk devlover update kembali peduli lindungi agar bisa dipakai lgi dan bisa dipakai untuk hp hp keluaran lama juga,negative
Kok dah checkout status nya padahal saya masih di lokasi kerja? Ada apa dengan app ini? 😤,negative
Ini apk kenapa ya kok saya mau login gak bisa bisa tulisan nya gak bisa di scroll ke bawah,negative
aplikasi ga jelas ga bisa scroll kbawah kirain saya aja eh yg lainya juga sama..😂perbaiki dulu update lagi yg terbarunya cpet kluarkan klo gni ssah login.😡,negative
Tidak bisa login dgn no telephon yang saya daftarkan..,negative
Saya selalu gagal untuk mengakses beranda. Lebih baik langsung di pencarian google,negative
GAGAL CHECK IN !! GAGAL CHEK IN !! aplikasi GAK BERGUNA !!!,negative
"Aplikasinya tidak responsive, dibuka di Tab tidak bisa. Ukurannya tidak bisa menyesuaikan",negative
Gimasih aplikasinya masa ngga bisa masuk padahal saya sudah vaksin!,negative
Mohon maaf sebelumnya aplikasinya nggak bisa di gunakan.kira kira kenapa yah?saya sudah donlowad tapi nggak bisa masuk seperti punya kakak saya.saya udah ceklis menyatakan setujuh tapi kok nggak bisa.cuman kaya gitu doang nggak masuk ke nomer hp atau pun email sih.maaf ya saya kasih bintang 1 dulu nanti kalau sudah bisa baru saya kasih bintang 5.mohon dong sarannya...biar saya bisa menggunakannya..terima kasih,negative
Sudah saya instal dan unistal berkali kali ketika saya mau klik saya setuju tidak bisa di geser ke bawah ini apaan si merepotkan,negative
Payaah di hp xiomi redmi not 5 ga bisa digunakan .di layar 4 inc. Harus layar ny yg 6 inc 🤦 hp mahal doang. Tolong dong di perbharui lg masa ga bisa di scroll ke bawah .,negative
Kok gak bisa dibuka yaa..,negative
"Mungkin yang bikin app lupa kalau didesa banyak yang tidak punya hp yang bagus, dan didesa kami banyak yang bingung dengan appl ini sagat susah dibuka.mau lihat sertifikat tidak bisa.saya mohon diperbaiki.",negative
"Setelah.di update jadi gagal chek in terus, gak bisa chek in sampe skarang",negative
Ga bisa login bos,negative
Aplikasinya gak bisa dipake... selalu berhenti terus saat dibuka... untung ada buku vaksin nya bs dibawa kemana2... payah.... menyusahkan saja klu harus beli hp baru saya tidak mau buat makan saja susah apalagi untuk beli hp terbaru hanya untuk bisa cek in cek out...,negative
"Aplikasinya membingungkan saya sdh vaksin ke 2 dg data yg lengkap tp pas sya cek no NIK benar, tp nama nya salah bukan nama sya. Itu caranya gemana untk membetulkan nama yg salah ??? Tolong penjelasanya",negative
Sertipikatnya gak bisa diakses...,negative
"Aplikasi gak guna,, masa pas instal masuk ke menu utama malah stak ga bisa di apa²in...😌",negative
Install di oppo kok tdk ada opsi masuk font nya tdk sesuai,negative
"Apalah, kok gak bisa dibuka boro boro mau masuk menjelajah disuruh ngisi setuju doang, sudah di klik eh gak masuk2 gak ad kejelasan... Aplikasi yg aneh?!!!!",negative
Aplikasinya engga ada menu sutuju. Gimana mau masuk dan daftar. Tolong di perbaiki,negative
"Aneh bgt ini aplikasi, tiap mau buka sertifikat vaksin selalu nggak ada, pdahal udah vaksin ke dua. Distatus vaksin juga udah warna hijau. Pas bener² lagi dibutuhin tpi nggak bisa digunain. Tapi diwajibkan punya aplikasi ini. Percuma nggak sih diwajibkan punya aplikasi ini tpi nggak maksimal juga kegunaan aplikasi ini",negative
Udah di instal tapi untuk buka nya tidak bisa,negative
Mau cek sertifikat vaksin aja susah minta ampun. Udh muncul di situ sudah vaksin ke dua. Mau liat sertifikat vaksin malah di bilang gk ada. Udah di update aplikasinya pun gk bisa. Heran,negative
"G bisa menginformasikan ketika data vakain belum masuk,kemana harus mengadu untuk membwnaekan data",negative
Di update mlh error log in gk bs nyusahin org buat ber aktifitas nih app,negative
Ukuran huruf dihp saya udah diperkecil sampai yang paling kecil tapi tetap saja tidak bisa dibuka/login apa saya harus ganti hp baru bisa,negative
"Aplikasi gk bermanfaat, saya udah vaksin lengkap tpi status saya masih merah, pelayanannya buruk, dan saya sudah komplain di Gmail ya tpi gk ada gunanya, heeedeeeeh, saya juga udah telpon ke 119 tpi gk ada respon yg baik, masa saya harus vaksin ulang padahal saya udah vaksin dosis lengkap, sama saja tidak membantu, aplikasinya parah",negative
"Tibatiba sertif vaksin saya hilang, sebelumnya itu ada kok tibatiba hilang ya",negative
Sdh di upgrade apl ga bs di buka. Ga bisa di klik,negative
Aplikasi menyebalkan gak bs di buka,negative
Ga bisa buka padahal udah di setujui,negative
Aplikasi peduli lindungi saya tdk bisa di geser ke atas...tdk bisa di buka,negative
"Parah kacau, pas dibuka ""aplikasi telah berhenti""",negative
"Aplikasi payah, bukannya ada gunanya kok malah gak ada gunanya, erorr mulu",negative
"Isian tgl lahir lebih di smplyfy ya masak mesti pencet ratusan kali hanya unt isi tgl dan tahun lahir, aje gileee",negative
Aplikasi nyusahin setelah diperbarui malah Errol udh berkali kali unistal dan download LG ttp HBS login ulang malah terus terusan keluar gha bisa masuk ke aplikasi nya.. pdhl yg sblmnya HBS login bisa dbuka HBS diperbarui malah ku gni,negative
"Kotak setuju udah di centang, tp gak bs buat next prosesnya. Saya Kira di update itu bs lebih baik, tp mlah jdi rusak. Jdi gak bs buat masuk kerja, syarat masuk kantor mesti scan, solusi gmn ini?",negative
aplikasi tlol udh download ga bsa d apa2in,negative
"Gak guna, ribet ui nya aneh, mau klik saya setuju gk bisa2.",negative
kok nggak bisa dibuka ya terus ada tulisan apk telah berhenti,negative
"Aplikasi kok hmpr tiap saat minta update,, klu update jg btuh memory klu hpny memry trbatas gmn mau update ..kasain orng2 yg memry hpnya terbtas,,Tolong dbenahi bkn hnya mnta update trus..",negative
Apk cacad gak bisa di buka,negative
"Mending versi sebelumnya Sudah instal dan unistal lalu instal lagi Tetap aja ga bisa login , stuck di pilihan bahasa dan tidak bisa lagi",negative
sudah saya instal tapi gak bisa di buka.. cuma tulisan syarat dan ketentuan... maksudnya apa coba udah saya ota atik ttp gak bisa...,negative
Saya menghapus dataaksud saya permbersihan.sdh install lagi.tapi nggak bisa masuk lagi..otpnya.,negative
"Aplikasi Bikin Pusing, Gak Bisa Login, Eror, Bikin Pusing Masyarakat..Ampunnnn Dahhh.. Aplikasi TERBURUK.",negative
Hahahaha di bilangin apk buruk apk nya gak guna dan sangat jelek baru tau kan,negative
Aplikasi gaplek...di install kok tombol setujunya g ada..terus buat apa dipakai ga bisa login. Percuma,negative
Updet baru gak bisa masukkk. Ketika di bagiann keamanan dan privasi. Tidak bisa scrol ke bawah. Jadi tidak bisa login Bagaimana nihh. Kami jadi kesulitan dalam berkatifitas,negative
"Aplikasi ngajak berantem,, ga bisa dibuka.. mentok di syarat dan cek list..",negative
Nyusahin sudah komplain lebih dari seminggu tapi tetap aja status hitam. Dari Kemenkes di lempar ke kekominfo di kominfo sama aja,negative
Ngak bisa dipakai untuk scan QR di mall-mall... Ngak keluar persetujuan... Parah banget..,negative
Saya buka aplikasi ini kok engga bisa gimana si ini.,negative
"Aplikasi sampah gak berguna, gak bisa login dengan hp dibawah 6 inch !! Tulisan sudah diperkecil tetap tidak bisa !!",negative
Apl payah masak gak bisa lihat sertifikat vaksin padahal udah terdaftar vaksin 2x,negative
"HABIS CENTANG SETUJU, TIDAK BISA LANJUT DAN TIDAK ADA.PILIHAN.. DEVELOPER MOHON PERBAIKI .. HP OPPO F1",negative
"Ayo dong perbaiki tampilan biar bisa suport di handphone dengan layar di bawah 6,3 inch.",negative
Aplikasi yang sangat buruk,negative
Ga bisa di pakai aplikasi ini,negative
Sering eror barcode gak bisa kebaca,negative
Tidak bisa menyetujui persyaratan,negative
Susah bangt ngga bisa ke buka,negative
Aplikasi nya gimana ini kaga bisa di buka?kaga becus bikin aplikasi bukan?,negative
TIDAK BISA LOGIN....MENTOK DI WARGA NEGARA.... DAN PILIH BAHASA.... ADA APA INI.,negative
Aplikasi gk jlas gk bs d gunakan.masa gk buka2,negative
Mhon di perbaharui.. Gk bisa scroll ke bawah gk ad Tulisan setuju.,negative
Saya sudah vaksin kedua tapi kok di app baru vaksin 1 vaksin pertama tgl 4 September nah vaksin 2 tgl 1 kemaren kok vaksin nya cuma ada 1 itu gimana yh ngatasinya,negative
satu aplikasi berjuta masalah,negative
Saya dftr kok gbsa..sudah download,negative
"Di halaman syarat penggunaan dan kebijakan privacy, tidak ada ok button untuk melanjutkan proses registrasi",negative
Aplikasi apaan sih ini. Apk pemerintah indo gak ada yang becus ya emang saya jadi tidak bisa masuk ke bank,negative
Nggak bisa login,negative
Ga bisa loding cuma ada saya setuju mulu,negative
"Ribet. Harus baca kebijakan privasi, pas di tekan ga muncul muncul",negative
Gimana sih ini...kok g ada laman selanjutnya....,negative
Gimana ni aplikasinya. Parah bgt. Gak bs login lg weee... jd gak diperlukan lg lah aplikasi gak guna macam.ni. ktnya wajib pake tp gak bs dipake. Parah looo,negative
"Udah dimasukkan NIK dan nama sesuai KTP,malah dibilang tidal valid.aplikasi sampah,buang-buang uang negara.harus diaudit nih",negative
Maksudnya gmna udh diklik setuju tp gk muncul apapun... cmn ada syarat dan kebijakan doang,negative
kenapa sertivikasi vaksina sya ga pernah muncul saya sudah unistal aplikasi bekali kalai sudah ganti akun tetap saja ga bisa lihat sertivikasi akun.. bukan nya aplikasi untuk mempermudah bukan untuk membingungkan orang ..,negative
"Ternyata bukan cuman saya yang nggak bisa munculin tulisan setuju saat login. Walhasil ya akhirnya login via browser. Aplikasinya jadi kurang menjangkau seluruh lapisan masyarakat. Perbaiki, maka saya naikkan rating.",negative
Ini gimana lagi sudah vaksin ke dua gak muncul keteranganya apknya gmna sih yg muncul vaksin pertama terus,negative
Sertifikat vaksin Tdk dapat diperiksa.tolong di check lagi aplikasinya,negative
"Kenapa gak bisa login , penyimpanan masih banyak jaringan 4g jadi emng apkny yg bermasalah😭 Soalnya udh banyak yg ngeluh sama nih apk",negative
"Buruk gak bisa dibuka payah,,",negative
"Kenapa dengan app ini dibuka ga bisa selalu ada jawaban "" sayangnya app ini telah berhenti"" ga bener nih app",negative
Aplikasi nyusain Udah sih kartu vaksin cetak aja Kebanyakan gangguan Hidup udah susah pakai ini aplikasi makin buat hidup susah,negative
Apk apaan ini. Gak bisa log in,negative
Sertifikat vaksin tidak ada padahal sudah vaksin 1 &2 no hp juga sdh betul,negative
tolong yg layarnya kecil ini tidak bisa masuk karena tombol terpotong. tolong urgent!!! tulisan sudah yang paling kecil tapi sama saja,negative
"Parah banger. Jelek. Tidak.bisa digunakan. Tidak muncul kolom ""SETUJU""saat mau login. Jd tdk dpt digunakan",negative
"Server sering down, dah dua kali ke bandara gak bisa scan QR code gara2 server down, ujung ujungnya tetep harus ngeprint hasil pcr antri lagi...hasil pcr/antigen belum 30 hari dah dihapus... kasih bintang 1 dulu yah..maaf.",negative
"Aplikasi ""SAMPAH"" Kasih bintang 1 pun gak rela",negative
aplikasi knpa ga bisa bisa udh hapus download tetep ga bisa,negative
Aplikasi apa ini..gak bisa2 daftar..sudah di cheklist setuju.tapi tidak bisa dilanjut.buat ribet rakyat,negative
Kenapa sertifikat vaksin dosis 2 tidak muncul dalam jangka waktu 2 hari setelah vaksin dosis 2? Kenapa aplikasi tidak diberikan fitur pengaturan atau apapun itu supaya bisa komunikasi dengan pembuat atau dengan instansi pemerintah yg bekerja sama dengan aplikasi ini?,negative
"Sudah berkali2 saya pencet ""kirim ulang kode OTP"" Pada cek sertifikat vaksin di pedulilindungi, Kode tersebut tak kunjung datang sudah dari kemarin malam saya coba!",negative
Sangat mengecewakan. Di perbaharui malah macet tidak dapat menyelesakan pembaharuannya. Hallo hallo devploper jangan jadi bisu gak bertanggung jawab atas aplikasi PeduliLindung.,negative
Sertifikat tidak mau muncul,negative
Kaga guna kaga bisa scan jelek,negative
"Knp setiap kali mau bukak ni apk selalu aj ada aplikasi ini telah berhenti,ini kpn cuman eror atau gimana sih tolong di perbaiki lagi ya untuk aplikasi peduli lindungi ini🙏",negative
Sangat buruk sekali. Sdh vaksin tapi sertifikat ga muncul.,negative
parah.. bukan mempermudah urusan.. malah makin ribet.. udah di install.. kirain tinggal pakai.. udah ini itu masih aja gak bisa.. apa sayanya yg terlalu tolol...,negative
"Aplikasi nya sering eror, penanggung jawab aplikasi kurang cepat responnya",negative
Tidak bisa dibuka,negative
"Udah pernah download karena ga guna jadi uninstal, mau download lagi susah banget",negative
Aplikasi gak guna,negative
Sulit banget bukanya..mau sertifikasi gagal terus,negative
Gk bisa masuk boss,negative
"Gak mau kasih bintang, bahkan bintang 1 juga gak layak buat apps yg sudah diupdate. Saya kira update memang diperlukan banget agar peduli lindunginya tetap bisa dipakai, lah ini malahan gak bisa sama sekali. Gak gerak. Tetap stuck di halaman syarat dan ketentua. Bikin repot dan tidak membantu jadinya. Padahal saya pengguna KRL dan busway Transjakarta yang diharuskan scan barcode di stasiun atau di halte. Bagaimana ini, tolong dibantu.",negative
"Di bagian persetujuan, sudah dicentang dan ditunggu, tapi nggak bisa ke halaman selanjutnya.",negative
"Maaf bintang 1, aplikasinya gak bagus buat netapin lokasi aja lama banget, bisa dibilang nggak berguna aplikasinya",negative
Setelah di instal dan di buka. Terus centang setuju privasi dan lain lain. Udah ga bisa di apa apain lagi. Aneeeh bener aplikasi.....,negative
"tolong perbaiki masalah yang sering terjadi, masalah yang tiba"" option checkout hilang dan menyebabkan tersangkut dalam keaadaan masih checkin di tempat tersebut tetapi tidak bisa checkout dan imbasnya tidak bisa checkin lagi.",negative
Ngapain dah instal kalau masih hrus kirim kirim email lagi.. Masukin data sudah selengkap lengkapnya.. Sertifikat gw belum tampil2 jug udh 2 mingguan,negative
Saya login kok gak bisa,negative
"Kenapa nama saya d apklikasi peduli lindungi berbeda dengan kartu keluarga,KTP dan akte lahir saya tolong dibantu dibenarkan nama saya sesuai dengan kartu keluarga saya yang terdaftar di disdukcapil",negative
Aplikasi gk guna. Tulisan saya setuju gk muncul muncul,negative
"1 email untuk 1 akun, saya dari keluarga besar harus buat email banyak. Apa kabar lansia diluar sana yang tak punya sanak saudara? Aplikasi memang memudahkan tapi mau masuk aplikasi ribet amat",negative
"Hp di restar pengaturan pabrik download ulang aplikasi,, jadi ga bisa di buka,, aplikasinya",negative
Ga bisa login atau daftar,negative
Aplikasi ini tidk berfungsi setelah klik setju tidak bisa lanjutkan mau scrol utuk pilihan lanjutkan tidk kebuka,negative
Saya baru instal tapi tidak ada tombol nex setelah persetujuan. Coba discroll malah keluar ke halaman utama,negative
"Kenapa kebijakan Privasi aja ceklist tapi gak bisa msuk, gak ada tombol ok atau submitnya.",negative
Tidak bisa digunakan,negative
Habis pembaruan malah gagal terus pas selesai barcode 😌,negative
Kenapa saya sekarang tidak bisa login di aplikasi ini maupun di website ..mohon di benarkan aplikasi ataupun website nya,negative
Gua heran apa sih kerjanya pemerintah perasaan gua udah di vaksin yang kedua tapi sertifikat vaksin ga muncul heran gua terasa percuma aja divaksin masa jawabarat pegawai yg ngurusin kaya gini cuma satu orang kan ga mungkin,negative
Saya tidak bisa log in.. Padahal kuota juga ada,negative
"Tidak dapat dibuka aplikasinya hanya mentok di halaman syarat dan ketentuan,setelah klik (ceklis tanda setuju)halaman tidak berubah. Diam ditempat saja",negative
kenapa ga bisa masuk setelah pilih negara kenapa ga ada saya setujunya ya di paling bawah setelah menceklis persaratannya,negative
"Kok gak bisa login, udah contreng setuju tetep gak bisa login",negative
"Aplikasi sangat tidak memuaskan, pertama kali download udah bisa lihat sertifikat vaksin 1dan 2, tapi sekarang buka sertifikat vaksin malah bilangnya belum ada, dan harus daftar untuk vaksin. Giman ini",negative
Aplikasi yang di buat cuma biar kelihatan membantu dan nggak support hp kebawah,negative
"aplikasi aneh sekali, hanya karena layar hp kecil masak tulisan saya setujunya tidak bisa muncul. apa yang bisa megunakan aplikasi ini hanya yg memiliki hp berlayar besar...sungguh tidak fleksibel",negative
Makin ga jelas checkoutnya gimana,negative
Buruk sekali aplikasi ini,negative
Kasih tau caranya udh vaksin kok surat vaksin 3 bulan lebih gk keluar keluar di hubungi Call center ilang bertanggung jawab lah kalo bikin aplikasi,negative
"Buruk sekali aplikasi ini, apalagi sebagai aplikasi wajib. Kenapa NIK disebut tidak cocok dengan data di KTP ? padahal sudah sama. Bagaimana mengatasinya.",negative
Parah ga bisa diapa apaib,negative
"Menyesal sih download, karena login saja dipersusah padahal data yang saya masukkan sudah benar semua",negative
"Sering eror. Aplikasi pemerintah tapi kok gini"" amat ya, parah.",negative
"Aplikasi update tidak bisa login karena setelah diconteng syarat ketentuan aplikasi tidak ada kata ""saya setuju"" yang terletak di bagian bawah",negative
"Saya sudah vaksin pertama, tp sertivikat vaksin katanya blm trsedia.. pdhal no.hp & no nik ktp bner smua.. trs komplennya sama siapa, smentara tempat yg mengadakan vaksin sdh tdk ada lagi.. bingung ah..",negative
"Mengapa sudah isi data selalu mental terus, padahal data sudah valid, tetapi tidak dapat digunakan",negative
Aplikasi ngga guna ngga bisa buka,negative
Aplikasi tak bermanfaat,negative
Ini aplikasi kenapa tidak bisa masuk ya,negative
Aplikasi bikin tambah ruwet!!!!,negative
Aplikasi apaan ga bisa di gunakan... tolong di perbaiki,negative
Aplikasi y setelah diupdate malah gk bisa dibuka padahal diperusahaan diwajibkan memakai aplikasi,negative
"Tombol ""saya setuju"" tidak dapat di geser, jadinya tidak bisa masuk",negative
"Sdh bbrp kali saya download tapi tdk bisa selalu muncul nya saya setuju, mohon solusi nya",negative
"Aplikasi aneh, tombol buat login no hp,cuma keliatan sedikit di ujung kiri bawah, untung mata saya tajam. Perbaiki woy. 🌟 1 dulu.",negative
Tambah sini tambah jelek Vaksin pertama dan kedua sudah selesai Tapi sertifikat gak keluar udah berminggu minggu Udah melakukan sesuai prosedur Tetep gak bisa Mohon diperbaiki Seriuslah sama aplikasi ini,negative
Gk bisa di pake,negative
Tdk bisa digunakan,negative
Aplikasi apa ini gak guna.. diem aja walaupun udah di setujui.. bikin sakit hati.. di perbaiki dong,negative
"Udah install, udah disetujui syarat dan kebijakannya. Tapi kok gabisa masuk ya, berani ngeluarin regulasi tapi kok sarananya gajelas.",negative
Kenapa tidak bisa login di aplikasi ini,negative
"Untuk kalangan masyarakat kebawah,hp kurang suport",negative
Gk bisa di buka,negative
saya sangat kecewa untuk versi baru hp jadul ngak ada tulisan di setuju i,negative
Diperbarui tapi tampilan awal konfirmasi kewarganegaraan tidak bisa di HP saya,negative
"Gimana daftarnya, kok susah amat",negative
"Aplikasi masih banyak Bug, terlalu dipaksakan untuk penggunaa. Justru malah jadi nyusahin rakyat , seluruh indonesia disuruh download nanti dapet addsense masuk kantong lumayan",negative
saya udh 4 kli instal ko masih ngga bisa padahal yg sebelum nya bisa ko sekarang ngga bisa sih,negative
Ga bisa dibuka. Payah banget padahal udah upgrade. Ngapain ada scan barcode kalo aplikasinya aja ga guna begini🤧🤧,negative
"Awal Daftar aplikasi ini cukup Mudah di HP saya, setelah babe saya baru bisa Vaksin dan mencoba install Malah hanya berputar di SYARAT PENGGUNA KEBIJAKAN PRIVASI setelah di ✅ tidak ada lagi Arahan masuk nya. MALAH BABE SAYA YG BILANG TIDAK BECUS INSTALL APLIKASI . Miris sih😅 susah jelasin nya dan Developer cenderung say * Maaf maaf Maaf * capek aku tuh 😅",negative
Gila sih baru daftar udh bermasalah!,negative
"TOLONG SEGERA DIPERBAIKI, SETELAH UPDATE MALAH GABISA LOGIN. CUMA BISA KLIK ""SAYA SETUJUI"" GABISA GESER APA2. KALO MEMANG APLIKASINYA BELUM SIAP JANGAN DIPAKSA LAUNCHING YA... MOHON SEGERA DIPERBAIKI! Mohon solusinya? Apakah ada yang kasusnya sama dengan saya?",negative
"Tombol saya setuju tidak bisa tampil walau sudah ukuran huruf diperkecil,tolong kah diperbaiki",negative
Tidak bisa log in karena tidak support layar di bawah 5 inc,negative
Ini apalikasinya kenapaya kok pas mau cek out aku disuruh isi nomor NIK tapi setelah aku isi nomer NIK NYA pas aku klik malah Bilang nomor NIK aku kadaluarsa PADAHALKAN NGGAK TOLONG DI PERBAIKI DONGGG.....😬😓AKUKAN BUTUH KARTU VAKSIN NYA😫😩,negative
"Sumpah ini aplikasi sampah apaan sih ,mau login tinggal nunggu saya setujunya ah kagak ada ,Sampek pusing aku🙅,mbok ya dikasih fitur scrool",negative
Sertifikat saya tidak muncul padahal saya sudah vaksin dan nik yg saya ketik sudah benar.,negative
"Ini apkikasi knp udah berulang"" update tapi ttp muncul saya setuju.. Ngk muncul"" yg laen",negative
"Kenapa saya ngga bisa masuk yah ko susah bgt,apa ada apk lain ,karna ditemoat kerja saya mewajibkan semua staf dan kariyawan untuk donwload ini tpi malhan ngga bisa",negative
"Gunanya apa ini , download sertifikat vaksin gak muncul",negative
Cacat. Dah vaksin sertifikat gak muncul,negative
Mohon maaf sebelumnya Kph saya setuju nya ga muncul mucul ya.pdahal saya udh download hapus lagi tpi saya setuju nya ga mucul mucul..,negative
Ngga bisa di hape agak tua,negative
"di web sudah vaksin , di aplikasi belum vaksin wkwkwk",negative
In aplikasi bagaimana sih.... seharusnya aplikasi in bisa menyesuaikan di berbagai hp android ya..... Bagaimana mau daftar bikin akun gak bisa di scroll ke bawah pilihannya....hemmmbbbb payahhhh Mungkin bisa di bilg belum lyak pakai aplikasi in🤔,negative
Tolong ini aplikasi di perbaiki segera karna syarat mestujinya tidak bisa di scrol ke atas.,negative
Ini abis centang persetujuan gabisa lanjut padahal udah klik syarat sama privasi kebijakan. Mohon diperbaiki jangan persulit masyaraka,negative
Tidak bisa unduh kartu vaksin,negative
macam mananya kok gak bisa dibuka aplikasinya,negative
Aplikasi apaan ini menyusahkan tidak bisa di buka,negative
"Udah vaksin kedua,yg keluar cuma sertifikat pertama doang",negative
Aku butuh banget aplikasi ini,negative
"Percuma di instal tapi gk bisa dipake, aplikasi toooooolooooool",negative
Aplikasi dak bisa dibuka...gmana ini,negative
Aplikasi tidak berfungsi.!!!!!!,negative
Kenapa tidak bisa pakai padahal udah vaksin dua kali,negative
Ga bisa login.... Tolong dibantu,negative
"UX Designnya parah sih, bukan mempermudah user malah mempersulit dan membuat user kebingungan",negative
Aplikasi apa ni Gak guna Sial,negative
Ga bisa d buka sama sekali aplikasi paling jelek spanjang sejarah.,negative
