,stopword,sentiment
587,bagus aplikasi,positive
588,ga paham aplikasi tuju   aplikasi blm sempurna publikasikanhadeehh,negative
589,habis update parah tombol verifikasi login pencet gak,negative
590,susah utk akses akses tampil tuju tidaj hp tampil akses utk log in error sertifikat vaksin susah muncul udh vaksin aplikasi error,negative
591,update ga masuk kasih bintang aja,negative
592,tolong no hp daftar udh kali paksin adain login pake nik napa kalah ama gojek login,negative
593,tolong aplikasi landscap hp ngga konfirmasi krn tombol klik konfirmasi tenggelam tdk klik,negative
594,stuck bijak privasi,negative
595,,negative
596,login susah ngga masuk tolong mudah loginnya masyarakat mudah,negative
597,aplikasi bikin ribet gak bantu yg bener donk kalo,negative
598,udah ngisi nomer gak aada kode verifikasi blok,negative
599,gmn sih apk nya masak kirim kode otp nomor sih  hufh sebel kemaren coba truss gada sms kode otp nya udh gitu tgl november vaksin males kalo kyk gitu udh vaksin sertifikat vaksin nya yg bikin ribet ,negative
600,yg apk mohon bantuanya apk gk hp mengunakan hp bagus yg gk kasihan orang yg hpnya beli second murah stuck kebijakn privasi,negative
601,liat dowload sertifikat vaksin tampil periksa,negative
602,ngga login bolak tampil,negative
603, sedih gara gak masuk aplikasi pedulilindungi gak masuk kerja,negative
604,gimana cerita udh download stuck klik tuju abis udh gk ni aplikasi menghadehudh kali telat gegara tahan post security gara aplikasi gk buka,negative
605,pedulilidungi buka ya baharu,negative
606,   aplikasi kocak bodoh tolol sehat warna merah perintah bodoh rakyat buah aplikasi,negative
607,aplikasi bikin nguras kerja atauran udah masuk nunggu masuk udah pas baharu mala susah masuk bikin ribet,negative
608,gimana sih cek sertivikat vaksin aja susah kek mati balikin versi aja deh ribet tau orang  males gin liat rating updet jelek,negative
609,aplikasi ken daftar cari sertifikat vaksin nama gk daftar valid cek kali kali kena limit indonesia maju hadeeehhh,negative
610,wajib download pake aplikasi tp g buka g daftar aneh,negative
611,buka spek hp yg rendah,negative
612,tolong sampe syarat bijak privasi aja pulang kampung jgn,negative
613,dlu gampang bgt masuk skrg susah bgtda ganti hp x ttp susah,negative
614,gabisa login sbelum update,negative
615,error versi yg,negative
616,aplikasi pedulilindungi instal jalan tawar upgrade sistem macet respon admin developer nembantu terima kasih,negative
617,gak login tolong,negative
618,vaksin muncul yah sertifikasi,negative
619,ngak buka,negative
620,login tombol lihat potong,negative
621,gimna cek out nya bikin data gak valid,negative
622,aplikasi ngga responsive hadap ponsel sih arti proyek milyaran rupiah aplikasi aja ngga mikirin ux nya,negative
623,hp samsung galaxy j prime tampil sepenuh muat yg tampilsaat buka donlot pilih warga negara centang tuju syarat tampil krn muat hp mahal,negative
624,login input data,negative
625,ga gunamasa ga dapet  sertifikat vaksin nyadi cekk kali ttep gaada terimakasih mohon perbaikiii gedeggg,negative
626,buluk kaga masuk,negative
627,aplikasi tdk buka,negative
628,apl ga,negative
629,hp cepat habis baterai karna aktif gps nya kadang lupa mati gps peduli lindung alangkah notifikasi aja mati gps aktif coba kasih solusi baterai hape boros karna aplikasi dear admin malas email suruh email tolong yg mendevelop yg tanggung hadap aplikasi salam,negative
630,ga login stuck beranda,negative
631,ga bsa masukk,negative
632,sertifikat vaksin ga muncul mending versi yg,negative
633,gak buka gimana sih,negative
634,aplikasi gak buka,negative
635,gak buka ya jelek,negative
636,sistem bagus yg ribet,negative
637,ga gunabuka aplikasi ga,negative
638,aplikasi inidibuka cm bijak privasi doang,negative
639,gak buka stak doang gak kerja gua gara gara gak jalan,negative
640,yg bikin aplikasi gimana pikir ya isi tanggal lahir pilih tekan tombol back lahir an jengkel isi tanggal lahir tekan back ratus kali,negative
641,buka,negative
642,aplikasi gak gulir macet,negative
643,gak login aplikasi nya,negative
644,aplikasi wajib solusi lengkap doang,negative
645,kecewa dgn layan pedulilindungi vaksin status merah,negative
646,install gak pake,negative
647,nggak masuk dr syarat udah checklist ya udah sampe aja skrg pake scan qrnya pedulilindungi gimana deh,negative
648,stak pas syarat,negative
649,ux nya bingung susah pake org awam,negative
650,gak buka y,negative
651,sertifikat vaksin buka,negative
652,nya lancar update g pakai hasil download ulang yg muncul layar bahasa warga negara bijak privasi tuju g efek suruh atur ganti ukur font g ubah gitu aja sampe buyuten un instal download ulang gitu ngabisin kuota trus kalo hp nya android iya musti upgrade hp makan aja susah bikin ruwet,negative
653,asa udah vaksin udah daftar apk peduli lindung sertifikat vaksin nya gaada apknya kecewa,negative
654,gak dibukak ya krna hpku layar poni knapa sulit dulunya dibukak kg gak coba klik berulangkali beli hp dipermudahajalah sya ni rakyat,negative
655,nggak buka app nya jengkel,negative
656,gw liat sertifikat vaksin gua gk bisaudh masukin nik msh gk sial gw kalo mall susah nih,negative
657,kecewa apl nya ga bukamenurut unjuk smsdownload apl initapi nyata ga,negative
658,ga login,negative
659,assalamualaikum aplikasi kamera scan barcode hp tipe xiaomi redmi x,negative
660,ni aplikasi gak sihkok gak gak buka ni aplikasiparah orang suruh download tp gak,negative
661,stuck halaman tuju aplikasi pakai,negative
662,ngrasa gk manfaat ngedownlod aplikasi,negative
663,update gak bisan scan qr ribet masuk kerja ,negative
664,gimana nih aplikasi peduli lindung sertifikat vaksin nya udah gak muncul,negative
665,kendala minggu check out otomatis tinggal area menu check out nya hilang mohon,negative
666,vaksin kali sertivikat ga,negative
667,tolong masuk akun tuju bijak privasi muncul stuck bijak privasi,negative
668,aplikasi susah orang setting tanggal repot scroll gabisa,negative
669,gimana sih ya vaksin udah selesai periksa sertifikat nyuruh masuk nik tp tetep kagak periksa suruh masukin nik haduh aneh ni ampe gitu mulu info warna udah hijau loh periksa sertifikat ribet banget repot gimana nih jadina pergi kmn ribet gegara gak pas scan qr nya,negative
670,akun susah ambil sertifikat butuh verifikasi verifikasi ampun trus apknya simpel repot terima kasih,negative
671,aaneh aplikasi nya ko ga buka eror,negative
672,aplikasi nya respon vaksin gk bukti vaksin nya,negative
673,login via no hp yg daftar kolom register ketik,negative
674,gak buka sertifikat aplikasi gagal play store,negative
675,gimana aplikasi nya gk pakai klik tuju gak respon peduli gk,negative
676,bsa masuk halaman koneksi internet masuk pilih centang tuju tdak bsa masu,negative
677,niat hati vaksin biar scan barkot eh gara salah masukin nomor eh udah ubah ganti anj taik lahhh peduli lindung   ,negative
678,sertifikat vaksin udah haritapi orang aja udah sertifikat nya gimana nih urus nya woyykerja bener,negative
679,aplikasi gak gak dipake suruh download,negative
680,gak buka update klik warga negara indonesia masuk menu ceklist syarat diceklist gak tombol next,negative
681,apk burik download gk login tolong,negative
682,masuk aplikasi tibatiba henti,negative
683,sertifikat nya muncul vaksin tgl sekolah anak sy ko susah bener sih sy vaksin muncul sertifikat nya sih,negative
684,udah download gak buka,negative
685,gimana yak udah daftar vaksin aplikasi nomer tiket pemberitahuan vaksin d daerah tanggal nya tolong,negative
686,aplikasi bikin susah bikin lambat kerja ojol kalomau gedunggak bsa d akses g bsa login aplikasi gak,negative
687,aplikasi bs ceklis syarat,negative
688,woi admin becus gak aplikasi gak becus gak aplikasi nya susah iya vaksin buka link buka dr aplikasi gak ny not found not found pala kau gak susah rakyat km atur perintah tp hasil ny cek aj gx bisaa jwab hnya kosong solusi,negative
689,aplikasi bego checkin checkout gk kantor absen pake ginian tolol banget bintang gk w rubah nyusahin bego,negative
690,ga bikin akun aplikasi nya ga pake,negative
691,status vaksinasi ga anggap udah vaksin merah aja yg arti vaksin udah vaksin lho sertifikat vaksin udah muncul kalo pergi pas scan qr otomatis blm vaksin ga banget aplikasi udah dataa lho kalo udh vaksin tolong yah email ga beres nih gunaa sertifikat vaksin kalo emang ga anggap vaksin,negative
692,error lokasi terdeteksiini yah,negative
693,aplikasi kek tai,negative
694,akurat masak bikin akun yg muncul nama anak,negative
695,apk nya ga buka klo apk pedulilindungi klo susah buka coba tolong yg gampangaja,negative
696,instal app tuju tdk tulis ok jdi tdk,negative
697,cetak sertifikat vaksin muncul periksa sdh muncul tamda hijau sdh vaksin x alikasi ameh,negative
698,maaf isi data nik salah masukin no nik daftar vaksin nik ktp,negative
699,aplikasi g,negative
700,ga ga buka,negative
701,komplain tgl tgl sertifikat vaksin ga jalan berkas udah upload via email tetep nihil nyata aplikasi indonesia hubung instansi aplikasi canggih    adain vaksin tunggu,negative
702,maff ko apk pas csan ko kamera item scan mohon bantu terima kasih,negative
703,pas gw registrasi gk pencet nya aneh udah mencetmenyatakan tuju ampe ceklis biru,negative
704,udah download ga buka app nya,negative
705,gk daftar login apknya klo aneh bgt sih,negative
706,tolong aplikasi kali log in gx tulis pas masuk coba hp hp pas login jaring stabil kenceng internet nya tolong aplikasi,negative
707,hape layar kecilusah setting huruf nya nggak hhhmmm,negative
708,stuck syarat bijak,negative
709,jalan,negative
710,klik erti,negative
711,aplikasi peduli lindung buka mohon jasa terimakasih,negative
712,ribet aneh gara gara kapital nama gak,negative
713,aplikasi gak buka sih pelayananya kaya bikin aplikasi kaya gak,negative
714,sertifikat vaksin ga muncul,negative
715,mohon maaf sertifikat masuk vaksin ubah hubung rs pulmonia sila vaksin verifikasi sertifikat muncul hijau selesai vaksin sertifikat lho aplikasi bug mohon,negative
716,aplikasi sammpahh mlah susah driver ojol yg vaksin ngambil order yg mall paksa cancel order krna masuk mall karna aplikasi sampahhh,negative
717,ga scroll daftar gmn,negative
718,gk sertifikat vaksin,negative
719,udah download pas buka milih warga indonesia centang tuju bijak abis ga gerak gatau maksud mending versi,negative
720,registrasi,negative
721,hp redmi gak masuk tombol tuju hilang,negative
722,daftar vaksin pake nomer yg hilang trus coba cek in pake nomer tulis gk sertifikat gimana min hape yg hilang butuh kode otp,negative
723,aplikasi gk login aj gk scrol gk gerak andai bintang setenga bintang setenga,negative
724,gi masuk akun pencet tuju ga tolong,negative
725,gimana kaga baca tuju hape ane hape nih ga muncul baca tuju nya tolong jdi hp andorit amoledfulldisplay gmna sih,negative
726,aplikasi daftar aja g,negative
727,aplikasi dibukatidak menu tuju login,negative
728,kaya gin ya kak aplikasi henti butuh cepat kak,negative
729,vksin kemarintpi gak sertifikat,negative
730,gk daftar napa apk peduli,negative
731,ngk aplkasi nya kayak ta ,negative
732,kasih bintang rendah minus aplikasi mall kantor buang baterai kuota bug cipta moga pandemi tinggal aplikasi chek in ga check out kadang login jam pagi kuntilanak kali gantiin kerja trus scan login bilang ga lokasi mulu gmaps ga tuh tinggal parah boros batere data ampun deh minggu isi data gegara apps yg ngirit ampe jdi jebol apps batere gaada powerbank colok charger nasib deh mah mah nya makan apps udah gitu klo ga dipake maksa gps nyala kes spying ga sih mw boker wc aja kdu nyala gps dimatiin notifnya kyk iklan tiktok nonstop tuju praktek beranta satusatunya positif ui nya yg simpel,negative
733,buruk developer butuh ajar wkwkwk gila aplikasi saaangat buruk,negative
734,gimana ko ga buka,negative
735,gak masuk akses aplikasihanya tahan bijak privasipadahal cek list,negative
736,koq ngga buka lokasigps on,negative
737,informasi utk konfirmasi syarat tombol tuju lihat masuk login halang konfirmasi syarat,negative
738,aplikasi gak mutu,negative
739,vaksin sertifikat vaksin adatolong benah,negative
740,hp android ngisi tanggal lahir display nya ga banget pencet gel jempol,negative
741,aplikasi ga,negative
742,anjing bngetaplikasi taiko gk bsa d buka,negative
743,ukur font hp ukur tulis tuju lihat,negative
744,sulit operasi,negative
745,syarat bijak nya gabisa klik crop,negative
746,mending bikin aplikasi serah swasta bagus habis update gak pakai pilih checklist tuju scroll nambahin pusing,negative
747,buka aplikasi,negative
748,stlh update aneh login sdh reinstall x mhn solusi,negative
749,update bug nya bikin kecewa,negative
750,aplikasi gak fungsi udh tipu aplikasi buruk masyarakat wajib aplikasi aplikasi dukung,negative
751,sampah bikin aplikasi sistem kebut malam kali ya tombol tuju font hp tolong tim ui nya d bina,negative
752,admin mohon apk alami kendala lihat bijak privasi syarat nya tdk terang mohon cepat lamar kerja terima kasih,negative
753,centang tuju hp kentang,negative
754,aplikasi cacat ga scroll tulis ubah tetpp masuk gimana sih aplikasi perintah tolong ga tanggap usaha gitu,negative
755,kalo ga paksa ga install apk bagus mesti dibenahin,negative
756,aplikasi erormau unggah kartu vaksin g bisasudah tuju g skroleror terusg,negative
757,design ui jelek sulit,negative
758,ga buka kali kali download,negative
759,aplikanya gak tolong bantu,negative
760,aplikasi anehabis lock outmalah g bs login lg,negative
761,knp menu beda tdk log on daftar,negative
762,aplikasi yg bgmna gak gak masuk booos,negative
763,akun aplikasi instal download ulang masuk gak tolong benahin adminnya,negative
764,pusing liat sertifikat vaksin ko nggak,negative
765,halaman syarat tombol tuju lihat layar aplikasi pakai,negative
766,gmn sih ko ga login stag tuju syarat trs sy klo kerja gmn skrg kmn pke app peduli lindung tpi app aj ky gin,negative
767,masuk aplikasi gak,negative
768,gimana aplikasi ya koh ngk buka,negative
769,ko aplikasi gak,negative
770,aplikasi ga,negative
771,aplikasi kaya gin gak bukabikin jengkel doang,negative
772,ko banget ya sertifikat nya udah minggu nunggu sampe datadata pribadi isi gak kalo salah data,negative
773,dear admin daftar hp samsung j prime udah update udah kali reinstal restart android versi buka aplikasi cm halaman bijak privasi bs centang udah gitu doang coba masuk home halaman bijak isi form gagal sms verifikasi masuk,negative
774,gajelas update sertifikat vaksin g lihat data antigen gak masuk antigen klinik yg kai mitra klinik yg data masuk aplikasi,negative
775,kalo bintang gua kasih pagi sampe malem kode otp gak kirim  cek sertifikat vaksin nya aja sulit kalo gak niat meribet masyarakat mending hapus aja dah apk ginian gak bgt kalo karna tuntut suruh download apk gak gin gak gua donlot ngabisin kuota gua doang,negative
776,hp ku apl ny gk kerja ya daftar tulis lajutkan ny gk liat gk makek,negative
777,burukngak buka,negative
778,aplikasi hp gede nih ga ngerti masyarakat hp nya gabisa daftar aplikasi mandang ekonomi ni blok,negative
779,d baharu aplikasi d buka bikin emosi,negative
780,jelek banget aplikasi gak bida dipake tuh gimana sih,negative
781,ukuram font plg ttp gak muncul hp suport,negative
782,tolong app nya sya blum bsa masuk menu utama pedulilindungi font sudh tetp blum tap tombol tuju nya,negative
783,udah update gk dgunainaplikasi ap ky gin,negative
784,programer ajar mah ajar deh gedung cyber giat yatampilan layar fleksibel type hp scroll tolong,negative
785,aplikasi kaga,negative
786,gimana inih udah bener bener dirusakin balikin tong kaya kali w download eh dongo bikin aplikasi sih luh,negative
787,dokumen masuk,negative
788,ga log in pilih wni wna gmn aplikasi hadeh,negative
789,versi menghilan data test covid test covid pcr test tgl oktober hilang yg versi data rapi,negative
790,vaksin sertifikat muncul perintah vaksin uda patuh tinggal cetak sertifikat aja ribet,negative
791,centang detuju syarat teru ngapain ga tombol tombol yg tekan scroll ga,negative
792,aplikasi pakaiada pilih bahasa trus henti gimana sih nih aplikasi temen begitumasa perintah aplikasi parah,negative
793,gak buka jelek aplikasi,negative
794,sy sdh vaksin tp knp terang cm vaksin ga cek sertifikat vaksin nya,negative
795,mending scan qr alhasil kemaren mall pulang,negative
796,daftar pas login bisamohon bantu adminnya,negative
797,aduh kalo ga mudah apaaplikasi bikin ribet aja,negative
798,gimana sih udh dipaksin udh daftar alamat aceh aneh orang bandung t dapet sertipikatnya aceh pokok ga tau sertipikat aplikasi a bener karna rugi udh donwnlod hese teu geus mel kuota teu boga duit dih pi kekehelen pis awas hayoh eta sertipikat kudu aya bandung titik tiktiktitik,negative
799,dh lokasi tujuantapi gk ceck indiluar radius terosss,negative
800,in bos ko update ga bsa masuk aplikasi in atur klo msh blm sempurna jngan sebar luas dlu lumayan dr orang buang kuota sia siatolong tingkat kwalitas klo tdk versi yg terwuji tolong kembang tanggap in cepat nya kasihan yg update versi yg rugi,negative
801,scan gagal masuk kerja buruk,negative
802,parahhh banget abis update nggak login hrs bikin akun tp sertifikat nggak d akses kecewa,negative
803,ga jalan xperia z,negative
804,masuk tanggal lahir secrol manual jengkel,negative
805,aplikasi nggk buka,negative
806,habis update nggak masuk gilir masuk aplikasi,negative
807,aplikasi bodoh dunia ga,negative
808,map akurat,negative
809,tulis tuju allikasi cuman akses hp hp bagaima orang orang milik hp versi tolong devlover update peduli lindung pakai lgi pakai hp hp,negative
810,dah checkout status nya lokasi kerja app ,negative
811,apk ya login gak tulis nya gak scroll,negative
812,aplikasi ga ga scroll kbawah kirain aja eh yg lai  update yg cpet kluarkan klo gni ssah login ,negative
813,login dgn no telephon daftar,negative
814,gagal akses beranda langsung cari google,negative
815,gagal check in gagal chek in aplikasi gak,negative
816,aplikasi responsive buka tab ukur sesuai,negative
817,gimasih aplikasi ngga masuk vaksin,negative
818,mohon maaf aplikasi nggak gunakankira yahsaya donlowad nggak masuk kakak sayasaya udah ceklis nyata tujuh nggak bisacuman kaya gitu doang nggak masuk nomer hp email sihmaaf ya kasih bintang kasih bintang mohon sarannyabiar menggunakannyaterima kasih,negative
819,instal unistal kali kali klik tuju geser si repot,negative
820,payaah hp xiomi redmi not ga layar inc layar ny yg inc  hp mahal doang tolong perbharui lg ga scroll,negative
821,gak buka yaa,negative
822,bikin app lupa desa hp bagus desa bingung appl sagat susah dibukamau lihat sertifikat bisasaya mohon,negative
823,setelahdi update gagal chek in gak chek in sampe skarang,negative
824,ga login bos,negative
825,aplikasi gak dipake henti buka untung buku vaksin nya bs bawa payah susah klu beli hp makan susah beli hp cek in cek out,negative
826,aplikasi bingung sdh vaksin dg data yg lengkap tp pas sya cek no nik tp nama nya salah nama sya gana untk nama yg salah tolong jasa,negative
827,sertipikatnya gak akses,negative
828,aplikasi gak pas instal masuk menu utama stak ga  in ,negative
829,install oppo tdk opsi masuk font nya tdk sesuai,negative
830,gak buka boro boro masuk jelajah suruh ngisi tuju doang klik eh gak masuk gak ad aplikasi yg aneh,negative
831,aplikasi engga menu sutuju gimana masuk daftar tolong,negative
832,aneh bgt aplikasi buka sertifikat vaksin nggak pdahal udah vaksin status vaksin udah warna hijau pas bener  dibutuhin tpi nggak digunain wajib aplikasi nggak sih wajib aplikasi tpi nggak maksimal aplikasi,negative
833,udah instal buka nya,negative
834,cek sertifikat vaksin aja susah ampun udh muncul situ vaksin liat sertifikat vaksin bilang gk udah update aplikasi gk heran,negative
835,g informasi data vakain masukkemana adu membwnaekan data,negative
836,update mlh error log in gk bs nyusahin org ber aktifitas nih app,negative
837,ukur huruf dihp udah dibukalogin ganti hp,negative
838,aplikasi gk manfaat udah vaksin lengkap tpi status merah layan buruk komplain gmail ya tpi gk heeedeeeh udah telpon tpi gk respon yg vaksin ulang udah vaksin dosis lengkap bantu aplikasi parah,negative
839,tibatiba sertif vaksin hilang tibatiba hilang ya,negative
840,sdh upgrade apl ga bs buka ga klik,negative
841,aplikasi sebal gak bs buka,negative
842,ga buka udah tuju,negative
843,aplikasi peduli lindung tdk geser atastdk buka,negative
844,parah kacau pas buka aplikasi henti,negative
845,aplikasi payah gak erorr mulu,negative
846,isi tgl lahir smplyfy ya masak mesti pencet ratus kali unt isi tgl lahir aje gileee,negative
847,aplikasi nyusahin errol udh kali kali unistal download lg ttp hbs login ulang gha masuk aplikasi nya pdhl yg sblmnya hbs login dbuka hbs ku gni,negative
848,kotak tuju udah centang tp gak bs next proses update bs tp mlah jdi rusak jdi gak bs masuk kerja syarat masuk kantor mesti scan solusi gmn,negative
849,aplikasi tlol udh download ga bsa d apain,negative
850,gak ribet ui nya aneh klik tuju gk,negative
851,nggak buka ya tulis apk henti,negative
852,aplikasi hmpr update klu update jg btuh memory klu hpny memry trbatas gmn update kasain orng yg memry hpnya terbtastolong dbenahi bkn hnya mnta update trus,negative
853,apk cacad gak buka,negative
854,mending versi instal unistal instal aja ga login stuck pilih bahasa,negative
855,instal gak buka tulis syarat maksud coba udah ota atik ttp gak,negative
856,hapus dataaksud permbersihansdh install lagitapi nggak masuk lagiotpnya,negative
857,aplikasi bikin pusing gak login eror bikin pusing masyarakatampunnn dahhh aplikasi buruk,negative
858,hahahaha bilangin apk buruk apk nya gak jelek tau,negative
859,aplikasi gaplekdi install tombol tuju g adaterus pakai ga login,negative
860,updet gak masukkk bagiann aman privasi scrol login nihh sulit berkatifitas,negative
861,aplikasi ngajak antem ga buka mentok syarat cek list,negative
862,nyusahin komplain minggu aja status hitam kemenkes lempar kekominfo kominfo aja,negative
863,ngak pakai scan qr mallmall ngak tuju parah banget,negative
864,buka aplikasi engga gimana si,negative
865,aplikasi sampah gak gak login hp inch tulis,negative
866,apl payah masak gak lihat sertifikat vaksin udah daftar vaksin x,negative
867,habis centang tuju adapilihan developer mohon hp oppo f,negative
868,ayo tampil biar suport handphone layar inch,negative
869,aplikasi buruk,negative
870,ga pakai aplikasi,negative
871,eror barcode gak baca,negative
872,tuju syarat,negative
873,susah bangt ngga buka,negative
874,aplikasi nya gimana kaga bukakaga becus bikin aplikasi,negative
875,loginmentok warga negara pilih bahasa,negative
876,aplikasi gk jlas gk bs d gunakanmasa gk buka,negative
877,mhon baharu gk scroll gk ad tulis tuju,negative
878,vaksin app vaksin vaksin tgl september vaksin tgl kemaren vaksin nya gimana yh ngatasinya,negative
879,aplikasi juta,negative
880,dftr gbsasudah download,negative
881,halaman syarat bijak privacy ok button proses registrasi,negative
882,aplikasi sih apk perintah indo gak becus ya emang masuk bank,negative
883,nggak login,negative
884,ga loding tuju mulu,negative
885,ribet baca bijak privasi pas tekan ga muncul muncul,negative
886,gimana sih inikok g laman,negative
887,gimana ni aplikasi parah bgt gak bs login lg weee jd gak lg aplikasi gak macamni ktnya wajib pake tp gak bs dipake parah looo,negative
888,udah masuk nik nama sesuai ktpmalah bilang tidal validaplikasi sampahbuangbuang uang negaraharus audit nih,negative
889,maksud gmna udh klik tuju tp gk muncul cmn syarat bijak doang,negative
890,sertivikasi vaksina sya ga muncul unistal aplikasi bekal kalai ganti akun ga lihat sertivikasi akun nya aplikasi mudah bingung orang,negative
891,nyata cuman nggak munculin tulis tuju login walhasil ya login via browser aplikasi jangkau lapis masyarakat rating,negative
892,gimana vaksin gak muncul keteranganya apknya gmna sih yg muncul vaksin,negative
893,sertifikat vaksin tdk diperiksatolong check aplikasi,negative
894,gak login simpan jaring g emng apkny yg  udh yg ngeluh nih apk,negative
895,buruk gak buka payah,negative
896,app buka ga sayang app henti ga bener nih app,negative
897,aplikasi nyusain udah sih kartu vaksin cetak aja ganggu hidup udah susah pakai aplikasi hidup susah,negative
898,apk gak log in,negative
899,sertifikat vaksin vaksin no hp sdh,negative
900,tolong yg layar masuk tombol potong tolong urgent tulis,negative
901,parah banger jelek tidakbisa muncul kolom setujusaat login jd tdk dpt,negative
902,server down dah kali bandara gak scan qr code gara server down ujung ujung tetep ngeprint hasil pcr antri lagihasil pcrantigen dah hapus kasih bintang yahmaaf,negative
903,aplikasi sampah kasih bintang gak rela,negative
904,aplikasi knpa ga udh hapus download tetep ga,negative
905,aplikasi inigak daftarsudah cheklist setujutapi dilanjutbuat ribet rakyat,negative
906,sertifikat vaksin dosis muncul jangka vaksin dosis aplikasi fitur atur komunikasi instansi perintah yg kerja aplikasi,negative
907,kali pencet kirim ulang kode otp cek sertifikat vaksin pedulilindungi kode kunjung kemarin malam coba,negative
908,kecewa baharu macet selesa baharu hallo hallo devploper bisu gak tanggung aplikasi pedulilindung,negative
909,sertifikat muncul,negative
910,kaga kaga scan jelek,negative
911,knp kali bukak ni apk aj aplikasi berhentiini kpn cuman eror gimana sih tolong ya aplikasi peduli lindung ,negative
912,buruk sdh vaksin sertifikat ga muncul,negative
913,parah mudah urus ribet udah install kirain tinggal pakai udah aja gak yg tolol,negative
914,aplikasi nya eror tanggung aplikasi cepat responnya,negative
915,buka,negative
916,udah download ga uninstal download susah banget,negative
917,aplikasi gak,negative
918,sulit banget bukanyamau sertifikasi gagal,negative
919,gk masuk boss,negative
920,gak kasih bintang bintang gak layak apps yg diupdate update banget peduli lindung pakai gak gak gerak stuck halaman syarat ketentua bikin repot bantu krl busway transjakarta scan barcode stasiun halte tolong bantu,negative
921,tuju centang tunggu nggak halaman,negative
922,maaf bintang aplikasi gak bagus netapin lokasi aja banget bilang nggak aplikasi,negative
923,instal buka centang tuju privasi udah ga apain aneeeh bener aplikasi,negative
924,tolong option checkout hilang sangkut keaadaan checkin checkout imbas checkin,negative
925,ngapain dah instal hrus kirim kirim email masukin data lengkap lengkap sertifikat gw tampil jug udh minggu,negative
926,login gak,negative
927,nama d apklikasi peduli lindung beda kartu keluargaktp akte lahir tolong bantu nama sesuai kartu keluarga daftar disdukcapil,negative
928,aplikasi gk tulis tuju gk muncul muncul,negative
929,email akun keluarga email kabar lansia sanak saudara aplikasi mudah masuk aplikasi ribet,negative
930,hp restar atur pabrik download ulang aplikasi ga buka aplikasi,negative
931,ga login daftar,negative
932,aplikasi tidk fungsi klik setju scrol utuk pilih tidk buka,negative
933,instal tombol nex tuju coba discroll halaman utama,negative
934,bijak privasi aja ceklist gak msuk gak tombol ok submitnya,negative
935,,negative
936,habis gagal pas selesai barcode ,negative
937,login aplikasi website mohon aplikasi website nya,negative
938,gua heran sih kerja perintah asa gua udah vaksin sertifikat vaksin ga muncul heran gua asa aja vaksin jawabarat pegawai yg ngurusin kaya gin orang ga,negative
939,log in kuota,negative
940,buka aplikasi mentok halaman syarat ketentuansetelah klik ceklis tanda setujuhalaman ubah diam,negative
941,ga masuk pilih negara ga tuju ya menceklis sarat,negative
942,gak login udah contreng tuju tetep gak login,negative
943,aplikasi muas kali download udah lihat sertifikat vaksin buka sertifikat vaksin bilang daftar vaksin gim,negative
944,aplikasi biar lihat bantu nggak support hp,negative
945,aplikasi aneh layar hp masak tulis tuju muncul megunakan aplikasi yg milik hp layar besarsungguh fleksibel,negative
946,ga checkoutnya gimana,negative
947,buruk aplikasi,negative
948,kasih tau udh vaksin surat vaksin gk hubung call center ilang tanggung kalo bikin aplikasi,negative
949,buruk aplikasi aplikasi wajib nik cocok data ktp,negative
950,parah ga apaib,negative
951,sesal sih download login susah data masuk,negative
952,eror aplikasi perintah gin ya parah,negative
953,aplikasi update login conteng syarat aplikasi tuju letak,negative
954,vaksin tp sertivikat vaksin blm trsedia pdhal nohp no nik ktp bner smua trs komplennya smentara yg vaksin sdh tdk bingung ah,negative
955,isi data mental data valid,negative
956,aplikasi ngga ngga buka,negative
957,aplikasi manfaat,negative
958,aplikasi masuk ya,negative
959,aplikasi bikin ruwet,negative
960,aplikasi ga tolong,negative
961,aplikasi y diupdate gk buka usaha wajib pakai aplikasi,negative
962,tombol tuju geser masuk,negative
963,sdh bbrp kali download tdk muncul nya tuju mohon solusi nya,negative
964,aplikasi aneh tombol login no hpcuma liat ujung kiri untung mata tajam woy ,negative
965,jelek vaksin selesai sertifikat gak udah minggu minggu udah laku sesuai prosedur tetep gak mohon serius aplikasi,negative
966,gk pake,negative
967,tdk,negative
968,aplikasi gak diem aja udah tuju bikin sakit hati,negative
969,udah install udah tuju syarat bijak gabisa masuk ya berani ngeluarin regulasi sarana gajelas,negative
970,login aplikasi,negative
971,kalang masyarakat kebawahhp suport,negative
972,gk buka,negative
973,kecewa versi hp jadul ngak tulis tuju i,negative
974,tampil konfirmasi kewarganegaraan hp,negative
975,gimana daftar susah,negative
976,aplikasi bug paksa penggunaa nyusahin rakyat indonesia suruh download dapet addsense masuk kantong lumayan,negative
977,udh kli instal ko ngga yg nya ko ngga sih,negative
978,ga buka payah banget udah upgrade ngapain scan barcode kalo aplikasi aja ga  ,negative
979,daftar aplikasi mudah hp babe vaksin coba install putar syarat bijak privasi  arah masuk nya babe yg bilang becus install aplikasi miris sih  susah jelasin nya developer cenderung say maaf maaf maaf capek tuh ,negative
980,gila sih daftar udh,negative
981,tolong update gabisa login klik tuju gabisa geser kalo aplikasi paksa launching ya mohon mohon solusi,negative
982,tombol tuju tampil ukur huruf diperkeciltolong kah,negative
983,log in support layar inc,negative
